Batch_ID	Cieli_nel_Batch	Tot_Cieli_Analizzati	Superamenti_nel_Batch	Tot_Superamenti	P_Value_Globale
38	100000	3800000	9	300	7.895e-05
39	100000	3900000	12	312	8.000e-05
40	100000	4000000	14	326	8.150e-05
41	100000	4100000	10	336	8.195e-05
42	100000	4200000	11	347	8.262e-05
43	100000	4300000	13	360	8.372e-05
44	100000	4400000	12	372	8.455e-05
45	100000	4500000	11	383	8.511e-05
46	100000	4600000	11	394	8.565e-05
47	100000	4700000	9	403	8.574e-05
48	100000	4800000	4	407	8.479e-05
49	100000	4900000	5	412	8.408e-05
50	100000	5000000	10	422	8.440e-05
51	100000	5100000	8	430	8.431e-05
52	100000	5200000	6	436	8.385e-05
53	100000	5300000	8	444	8.377e-05
54	100000	5400000	7	451	8.352e-05
55	100000	5500000	6	457	8.309e-05
56	100000	5600000	4	461	8.232e-05
57	100000	5700000	14	475	8.333e-05
58	100000	5800000	4	479	8.259e-05
59	100000	5900000	8	487	8.254e-05
60	100000	6000000	6	493	8.217e-05
61	100000	6100000	8	501	8.213e-05
62	100000	6200000	14	515	8.306e-05
63	100000	6300000	9	524	8.317e-05
64	100000	6400000	10	534	8.344e-05
65	100000	6500000	9	543	8.354e-05
66	100000	6600000	7	550	8.333e-05
67	100000	6700000	6	556	8.299e-05
68	100000	6800000	11	567	8.338e-05
69	100000	6900000	9	576	8.348e-05
70	100000	7000000	8	584	8.343e-05
71	100000	7100000	5	589	8.296e-05
72	100000	7200000	11	600	8.333e-05
73	100000	7300000	7	607	8.315e-05
74	100000	7400000	14	621	8.392e-05
75	100000	7500000	4	625	8.333e-05
76	100000	7600000	6	631	8.303e-05
77	100000	7700000	7	638	8.286e-05
78	100000	7800000	4	642	8.231e-05
79	100000	7900000	7	649	8.215e-05
80	100000	8000000	5	654	8.175e-05
81	100000	8100000	9	663	8.185e-05
82	100000	8200000	6	669	8.159e-05
83	100000	8300000	8	677	8.157e-05
